time,avg_stress_xx,disp_x_left,disp_x_mid,disp_x_right
0.00528,-1864114.4411807,9.048187945096e-05,-6.0188447369233e-05,-0.00017582018290763
0.0053,-1833163.0444245,8.9099768573834e-05,-6.2906576413658e-05,-0.00017278066549072
0.00532,-1800590.5209916,8.7629726571065e-05,-6.5290974127218e-05,-0.00016959749133621
0.00534,-1765146.5020968,8.6073204203412e-05,-6.7432575536521e-05,-0.00016609058265811
0.00536,-1728653.5450685,8.4431737577715e-05,-6.9312949708926e-05,-0.00016251876828767
0.00538,-1690977.0123374,8.2706946630933e-05,-7.1239522691547e-05,-0.0001588611971365
0.0054,-1650526.478276,8.0900533531453e-05,-7.3569267779803e-05,-0.00015488896387715
0.00542,-1608824.8491331,7.9014280999251e-05,-7.6050008618143e-05,-0.00015081784116925
0.00544,-1566320.2267144,7.705005054655e-05,-7.8326927289078e-05,-0.00014670998140617
0.00546,-1521259.8526441,7.500978064073e-05,-8.04210618565e-05,-0.00014231305457619
0.00548,-1474745.4650814,7.2895484791278e-05,-8.2217447866266e-05,-0.00013778243913323
0.0055,-1427734.2101272,7.0709249562693e-05,-8.3614384527232e-05,-0.00013325278133342
0.00552,-1378484.2603846,6.8453232515288e-05,-8.50388400804e-05,-0.00012847309016182
0.00554,-1327607.632438,6.6129660075929e-05,-8.6798504432334e-05,-0.00012352857226323
0.00556,-1276459.7182424,6.3740825340808e-05,-8.8622397034964e-05,-0.00011861056310148
0.00558,-1223463.3330978,6.1289085812427e-05,-9.0274001787019e-05,-0.00011349139118174
0.0056,-1168723.8735304,5.8776861073013e-05,-9.1711394579601e-05,-0.00010818369227935
0.00562,-1113864.5440719,5.6206630396673e-05,-9.2814914482673e-05,-0.00010291687510762
0.00564,-1057599.1114868,5.358093030264e-05,-9.367215635488e-05,-9.7504656954351e-05
0.00566,-999559.07994054,5.0902352052019e-05,-9.4663245377067e-05,-9.1891802956878e-05
0.00568,-941507.42675115,4.8173539090516e-05,-9.5905769207261e-05,-8.6327522071581e-05
0.0057,-882553.7084811,4.5397184439666e-05,-9.7077903679117e-05,-8.0681916112856e-05
0.00572,-821946.21302655,4.2576028039129e-05,-9.7910414448371e-05,-7.4844859248413e-05
0.00574,-761499.66034374,3.9712854042689e-05,-9.8465213907824e-05,-6.9072812294952e-05
0.00576,-700835.84953421,3.681048807062e-05,-9.8883949145505e-05,-6.3308919372126e-05
0.00578,-639001.82512728,3.3871794421124e-05,-9.9288315365888e-05,-5.7414180120456e-05
0.0058,-577875.52265676,3.0899673243603e-05,-9.9856828778902e-05,-5.1653972420648e-05
0.00582,-517769.56687522,2.7897057676548e-05,-0.00010047753481093,-4.6070023672786e-05
0.00584,-457824.31657619,2.4866910952869e-05,-0.00010071398408408,-4.053656331511e-05
0.00586,-400088.26612902,2.1812223475535e-05,-0.000100560222278,-3.5343242863767e-05
0.00588,-345724.21058867,1.8736009866385e-05,-0.00010044516936943,-3.0653162587315e-05
0.0059,-294162.06348062,1.5641305991054e-05,-0.00010044378763948,-2.6381846069094e-05
0.00592,-247474.41978642,1.2531165962921e-05,-0.00010039792774003,-2.2822323054892e-05
0.00594,-207300.44859078,9.4086591290556e-06,-0.00010027676573689,-2.0205690642382e-05
0.00596,-172793.08616282,6.2768670411288e-06,-9.9878117383104e-05,-1.8407859111057e-05
0.00598,-144957.40393584,3.1388804142792e-06,-9.9127216022347e-05,-1.7569320084221e-05
